variant,code,name,entry_ts,entry_price,entry_score,entry_daily_return,entry_dist_from_high,entry_recent_5m_change,entry_bb_position,entry_bullish_5,exit_ts,exit_price,exit_reason,pnl_pct
current,253840,수젠텍,09:16:08,7340.0,6.0,10.71,,,,,09:17:22,7440.0,grade_demote,1.3623978201634876
current,036930,주성엔지니어링,09:01:02,181900.0,6.0,2.83,,,,,09:01:30,183900.0,grade_demote,1.0995052226498077
current,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,,,,10:09:02,549000.0,grade_demote,0.0
current,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,,09:02:02,4075.0,grade_demote,-0.4884004884004884
q5_lower_4,253840,수젠텍,09:16:08,7340.0,6.0,10.71,,,,,09:17:22,7440.0,grade_demote,1.3623978201634876
q5_lower_4,036930,주성엔지니어링,09:01:02,181900.0,6.0,2.83,,,,,09:03:02,191000.0,grade_demote,5.0027487630566245
q5_lower_4,012330,현대모비스,09:28:52,541000.0,4.0,3.05,,,,,09:29:04,540000.0,grade_demote,-0.18484288354898337
q5_lower_4,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,,09:02:02,4075.0,grade_demote,-0.4884004884004884
q5_inv_6,253840,수젠텍,09:16:08,7340.0,6.0,10.71,,,,,09:17:22,7440.0,grade_demote,1.3623978201634876
q5_inv_6,036930,주성엔지니어링,09:01:02,181900.0,6.0,2.83,,,,,09:01:30,183900.0,grade_demote,1.0995052226498077
q5_inv_6,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,,,,10:09:02,549000.0,grade_demote,0.0
q5_inv_6,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,,09:02:02,4075.0,grade_demote,-0.4884004884004884
p1_r14e,253840,수젠텍,09:17:28,7470.0,7.0,12.67,,12.669683257918551,,0.0,09:17:32,7470.0,grade_demote,0.0
p1_r14e,036930,주성엔지니어링,09:01:02,181900.0,6.0,2.83,,,,0.0,09:01:30,183900.0,grade_demote,1.0995052226498077
p1_r14e,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,1.1049723756906076,-0.033670731703171454,2.0,10:09:02,549000.0,grade_demote,0.0
p1_r14e,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,0.0,09:02:02,4075.0,grade_demote,-0.4884004884004884
p1_r14f,253840,수젠텍,09:16:08,7340.0,6.0,10.71,,10.708898944193061,,0.0,09:17:22,7440.0,grade_demote,1.3623978201634876
p1_r14f,036930,주성엔지니어링,09:01:02,181900.0,6.0,2.83,,,,0.0,09:01:30,183900.0,grade_demote,1.0995052226498077
p1_r14f,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,1.1049723756906076,-0.033670731703171454,2.0,10:09:02,549000.0,grade_demote,0.0
