date,time,name,setup,buy_score,dist_high,recent_5m,consec_bull,race,mfe,mae,cur_hold_s,cur_pnl,cur_reason,mat_hold_s,mat_pnl,mat_reason
05-20,11:05,SK하이닉스,breakout,5.0,-0.512236767216847,0.3444316877152698,3,neither,1.4874141876430207,-1.9450800915331807,4.010859,0.0,E1_vp<100,4.010859,0.0,vp5ma_dead
05-20,11:19,SK하이닉스,breakout,5.0,0.0,0.4550625711035267,3,down,0.622876557191393,-2.944507361268403,4.07238,-0.05662514156285391,E1_vp<100,4.07238,-0.05662514156285391,vp5ma_dead
05-20,11:37,SK하이닉스,breakout,6.0,0.0,2.959953569355775,3,neither,0.16910935738444194,-1.9729425028184893,3.964178,0.16910935738444194,E1_vp<100,3.964178,0.16910935738444194,vp5ma_dead
05-20,13:07,SK하이닉스,pullback,5.0,-1.1817670230725943,0.34285714285714286,3,neither,0.17084282460136674,-0.7403189066059226,4.006182,0.0,E1_vp<100,1795.983777,-0.5125284738041003,eow
05-20,14:02,SK하이닉스,pullback,5.0,-1.5194147439504784,0.8064516129032258,3,neither,-0.05714285714285715,-0.9142857142857144,5.974968,-0.05714285714285715,E1_vp<100,1797.994401,-0.4,eow
05-20,14:39,SK하이닉스,pullback,5.5,-1.5756893640967922,0.5172413793103449,3,neither,0.34305317324185247,-0.8004574042309892,3.995992,0.0,E1_vp<100,1794.037303,0.05717552887364208,eow
05-20,15:00,SK하이닉스,pullback,6.5,-1.5756893640967922,0.11448196908986834,3,neither,0.628930817610063,-0.22870211549456831,24.028941,0.0,E3_vol_drain,1798.000168,-0.22870211549456831,eow
05-20,15:14,SK하이닉스,pullback,6.5,-1.2380416432189083,0.34305317324185247,3,neither,0.2849002849002849,-0.5698005698005698,27.968993,0.056980056980056974,E3_vol_drain,1797.95993,-0.5698005698005698,eow
05-20,09:01,대한전선,breakout,7.0,0.0,,0,down,0.5474452554744526,-6.569343065693431,23.970647,-1.2773722627737227,E4_bearish_candle,23.970647,-1.2773722627737227,bearish_candle
05-20,09:02,SK네트웍스,breakout,5.0,-0.9523809523809524,,0,up,5.649038461538462,-6.25,55.998463,1.8028846153846152,E3_vol_drain,171.948509,2.1634615384615383,trailing
05-20,10:33,삼화콘덴서,breakout,5.0,0.0,,0,down,1.3440860215053763,-4.166666666666666,417.881569,-2.0,stop_-2%,417.881569,-2.0,stop_-2%
05-20,10:43,삼화콘덴서,pullback,5.0,-1.0752688172043012,0.0,1,down,5.298913043478261,-3.125,128.069909,0.2717391304347826,E2_bearish_div,282.065907,-2.0,stop_-2%
05-20,10:56,삼화콘덴서,breakout,5.0,-0.801068090787717,2.200825309491059,3,up,7.267833109017497,-0.5383580080753702,3.897015,0.0,E3_vol_drain,305.959117,-0.13458950201884254,trailing
05-20,11:08,삼화콘덴서,breakout,6.0,0.0,1.891891891891892,3,up,5.702917771883289,-3.3156498673740056,46.102979,0.2652519893899204,E3_vol_drain,777.946195,3.7135278514588856,trailing
05-20,12:02,삼화콘덴서,none,6.0,-6.022584692597239,0.6720430107526881,2,neither,0.9345794392523363,-1.335113484646195,197.992556,-0.4005340453938585,E2_bearish_div,1799.991749,0.26702269692923897,eow
05-20,12:26,삼화콘덴서,none,5.0,-6.148055207026349,0.4026845637583893,2,neither,1.06951871657754,-0.9358288770053476,82.002241,0.4010695187165776,E3_vol_drain,405.999516,-0.9358288770053476,trailing
05-20,12:37,삼화콘덴서,pullback,5.0,-5.646173149309912,0.6693440428380187,3,neither,0.39893617021276595,-1.5957446808510638,1794.021171,-0.9308510638297872,eow,1794.021171,-0.9308510638297872,eow
05-20,13:09,삼화콘덴서,none,6.0,-6.148055207026349,0.9446693657219973,4,neither,0.4010695187165776,-1.3368983957219251,343.934017,-0.4010695187165776,E2_bearish_div,1797.934701,-0.4010695187165776,eow
05-20,13:22,삼화콘덴서,none,5.0,-6.900878293601004,-0.13458950201884254,2,neither,1.2129380053908356,-0.40431266846361186,13.982446,0.5390835579514826,E2_bearish_div,1505.952054,-0.40431266846361186,trailing
05-20,13:48,삼화콘덴서,none,5.0,-7.026348808030113,-0.13477088948787064,4,neither,0.5398110661268556,-1.484480431848853,7.999992,0.4048582995951417,E2_bearish_div,1796.011086,-0.4048582995951417,eow
05-20,14:03,삼화콘덴서,none,8.0,-7.026348808030113,1.2295081967213115,3,up,2.834008097165992,-1.214574898785425,228.012701,-0.2699055330634278,E3_vol_drain,1796.040922,1.6194331983805668,eow
05-20,14:17,삼화콘덴서,none,6.0,-7.151819322459223,0.40705563093622793,3,up,2.9729729729729732,-0.6756756756756757,147.986842,0.13513513513513514,E2_bearish_div,1057.996578,1.3513513513513513,trailing
05-20,14:28,삼화콘덴서,none,6.0,-7.026348808030113,0.5427408412483039,3,up,4.723346828609987,0.1349527665317139,132.016061,2.0242914979757085,E2_bearish_div,416.005753,1.214574898785425,trailing
05-20,14:43,삼화콘덴서,pullback,5.0,-5.269761606022585,0.6666666666666667,3,up,6.357615894039735,-0.13245033112582782,124.033199,0.13245033112582782,E3_vol_drain,729.997036,1.0596026490066226,trailing
05-20,14:54,삼화콘덴서,pullback,5.0,-3.136762860727729,1.9815059445178336,3,up,4.015544041450777,-1.16580310880829,3.95212,0.38860103626943004,E2_bearish_div,851.957067,0.7772020725388601,trailing
05-20,15:04,삼화콘덴서,pullback,7.0,-1.8820577164366372,1.5584415584415585,3,up,2.6854219948849107,-0.639386189258312,81.951721,0.0,E3_vol_drain,245.955634,-0.5115089514066496,trailing
05-20,15:20,삼화콘덴서,pullback,5.0,-1.86799501867995,0.3821656050955414,2,neither,0.0,-0.25380710659898476,1796.031952,-0.25380710659898476,eow,1796.031952,-0.25380710659898476,eow
